County,EPSG_Code,Verified,Notes
ADAMS,7258,Yes,NAD83(2011) / InGCS Adams (ftUS)
ALLEN,7260,Yes,NAD83(2011) / InGCS Adams (ftUS)
BARTHOLOMEW,7262,Yes,NAD83(2011) / InGCS Adams (ftUS)
BENTON,7264,Yes,NAD83(2011) / InGCS Adams (ftUS)
BLACKFORD,7266,Yes,NAD83(2011) / InGCS Adams (ftUS)
BOONE,7268,Yes,NAD83(2011) / InGCS Adams (ftUS)
BROWN,7270,Yes,NAD83(2011) / InGCS Adams (ftUS)
CARROLL,7272,Yes,NAD83(2011) / InGCS Adams (ftUS)
CASS,7274,Yes,NAD83(2011) / InGCS Adams (ftUS)
CLARK,7276,Yes,NAD83(2011) / InGCS Adams (ftUS)
CLAY,7278,Yes,NAD83(2011) / InGCS Adams (ftUS)
CLINTON,7280,Yes,NAD83(2011) / InGCS Adams (ftUS)
CRAWFORD,7282,Yes,NAD83(2011) / InGCS Adams (ftUS)
DAVIESS,7284,Yes,NAD83(2011) / InGCS Adams (ftUS)
DEARBORN,7286,Yes,NAD83(2011) / InGCS Adams (ftUS)
DECATUR,7288,Yes,NAD83(2011) / InGCS Adams (ftUS)
DEKALB,7290,Yes,NAD83(2011) / InGCS Adams (ftUS)
DELAWARE,7266,Yes,NAD83(2011) / InGCS Adams (ftUS)
DUBOIS,7292,Yes,NAD83(2011) / InGCS Adams (ftUS)
ELKHART,7294,Yes,NAD83(2011) / InGCS Adams (ftUS)
FAYETTE,7296,Yes,NAD83(2011) / InGCS Adams (ftUS)
FLOYD,7276,Yes,NAD83(2011) / InGCS Adams (ftUS)
FOUNTAIN,7298,Yes,NAD83(2011) / InGCS Adams (ftUS)
FRANKLIN,7296,Yes,NAD83(2011) / InGCS Adams (ftUS)
FULTON,7300,Yes,NAD83(2011) / InGCS Adams (ftUS)
GIBSON,7302,Yes,NAD83(2011) / InGCS Adams (ftUS)
GRANT,7304,Yes,NAD83(2011) / InGCS Adams (ftUS)
GREENE,7284,Yes,NAD83(2011) / InGCS Adams (ftUS)
HAMILTON,7306,Yes,NAD83(2011) / InGCS Adams (ftUS)
HANCOCK,7308,Yes,NAD83(2011) / InGCS Adams (ftUS)
HARRISON,7310,Yes,NAD83(2011) / InGCS Adams (ftUS)
HENDRICKS,7268,Yes,NAD83(2011) / InGCS Adams (ftUS)
HENRY,7312,Yes,NAD83(2011) / InGCS Adams (ftUS)
HOWARD,7314,Yes,NAD83(2011) / InGCS Adams (ftUS)
HUNTINGTON,7316,Yes,NAD83(2011) / InGCS Adams (ftUS)
JACKSON,7318,Yes,NAD83(2011) / InGCS Adams (ftUS)
JASPER,7320,Yes,NAD83(2011) / InGCS Adams (ftUS)
JAY,7322,Yes,NAD83(2011) / InGCS Adams (ftUS)
JEFFERSON,7324,Yes,NAD83(2011) / InGCS Adams (ftUS)
JENNINGS,7326,Yes,NAD83(2011) / InGCS Adams (ftUS)
JOHNSON,7328,Yes,NAD83(2011) / InGCS Adams (ftUS)
KNOX,7330,Yes,NAD83(2011) / InGCS Adams (ftUS)
KOSCIUSKO,7294,Yes,NAD83(2011) / InGCS Adams (ftUS)
LAGRANGE,7332,Yes,NAD83(2011) / InGCS Adams (ftUS)
LAKE,7334,Yes,NAD83(2011) / InGCS Adams (ftUS)
LA_PORTE,7336,Yes,NAD83(2011) / InGCS Adams (ftUS)
LAWRENCE,7282,Yes,NAD83(2011) / InGCS Adams (ftUS)
MADISON,7308,Yes,NAD83(2011) / InGCS Adams (ftUS)
MARION,7328,Yes,NAD83(2011) / InGCS Adams (ftUS)
MARSHALL,7300,Yes,NAD83(2011) / InGCS Adams (ftUS)
MARTIN,7292,Yes,NAD83(2011) / InGCS Adams (ftUS)
MIAMI,7314,Yes,NAD83(2011) / InGCS Adams (ftUS)
MONROE,7338,Yes,NAD83(2011) / InGCS Adams (ftUS)
MONTGOMERY,7340,Yes,NAD83(2011) / InGCS Adams (ftUS)
MORGAN,7338,Yes,NAD83(2011) / InGCS Adams (ftUS)
NEWTON,7334,Yes,NAD83(2011) / InGCS Adams (ftUS)
NOBLE,7332,Yes,NAD83(2011) / InGCS Adams (ftUS)
OHIO,7286,Yes,NAD83(2011) / InGCS Adams (ftUS)
ORANGE,7282,Yes,NAD83(2011) / InGCS Adams (ftUS)
OWEN,7342,Yes,NAD83(2011) / InGCS Adams (ftUS)
PARKE,7344,Yes,NAD83(2011) / InGCS Adams (ftUS)
PERRY,7346,Yes,NAD83(2011) / InGCS Adams (ftUS)
PIKE,7348,Yes,NAD83(2011) / InGCS Adams (ftUS)
PORTER,7320,Yes,NAD83(2011) / InGCS Adams (ftUS)
POSEY,7350,Yes,NAD83(2011) / InGCS Adams (ftUS)
PULASKI,7336,Yes,NAD83(2011) / InGCS Adams (ftUS)
PUTNAM,7340,Yes,NAD83(2011) / InGCS Adams (ftUS)
RANDOLPH,7352,Yes,NAD83(2011) / InGCS Adams (ftUS)
RIPLEY,7354,Yes,NAD83(2011) / InGCS Adams (ftUS)
RUSH,7288,Yes,NAD83(2011) / InGCS Adams (ftUS)
SCOTT,7276,Yes,NAD83(2011) / InGCS Adams (ftUS)
SHELBY,7356,Yes,NAD83(2011) / InGCS Adams (ftUS)
SPENCER,7358,Yes,NAD83(2011) / InGCS Adams (ftUS)
ST_JOSEPH,7300,Yes,NAD83(2011) / InGCS Adams (ftUS)
STARKE,7336,Yes,NAD83(2011) / InGCS Adams (ftUS)
STEUBEN,7360,Yes,NAD83(2011) / InGCS Adams (ftUS)
SULLIVAN,7362,Yes,NAD83(2011) / InGCS Adams (ftUS)
SWITZERLAND,7286,Yes,NAD83(2011) / InGCS Adams (ftUS)
TIPPECANOE,7364,Yes,NAD83(2011) / InGCS Adams (ftUS)
TIPTON,7306,Yes,NAD83(2011) / InGCS Adams (ftUS)
UNION,7296,Yes,NAD83(2011) / InGCS Adams (ftUS)
VANDERBURGH,7366,Yes,NAD83(2011) / InGCS Adams (ftUS)
VERMILLION,7344,Yes,NAD83(2011) / InGCS Adams (ftUS)
VIGO,7368,Yes,NAD83(2011) / InGCS Adams (ftUS)
WABASH,7294,Yes,NAD83(2011) / InGCS Adams (ftUS)
WARREN,7298,Yes,NAD83(2011) / InGCS Adams (ftUS)
WARRICK,7348,Yes,NAD83(2011) / InGCS Adams (ftUS)
WASHINGTON,7310,Yes,NAD83(2011) / InGCS Adams (ftUS)
WAYNE,7352,Yes,NAD83(2011) / InGCS Adams (ftUS)
WELLS,7344,Yes,NAD83(2011) / InGCS Adams (ftUS)
WHITLEY,7345,Yes,NAD83(2011) / InGCS Adams (ftUS)
